,Unit 1,,,,Unit 2,,,,Progress Report,,,,End of Term,,,
Student Name,Knowing and Understanding,Investigating Patterns,Communicating,Applying Mathematics in Real-World Contexts,Knowing and Understanding,Investigating Patterns,Communicating,Applying Mathematics in Real-World Contexts,Knowing and Understanding,Investigating Patterns,Communicating,Applying Mathematics in Real-World Contexts,Knowing and Understanding,Investigating Patterns,Communicating,Applying Mathematics in Real-World Contexts
Student A,5,-,6,-,-,-,-,-,5,-,6,-,4,3,6,4
Student B,6,-,7,-,-,-,-,-,6,-,7,-,7,5,8,7
Student C,5,-,6,-,-,-,-,-,5,-,6,-,6,6,8,7
Student D,4,-,5,-,-,-,-,-,4,-,5,-,4,6,4,3
Student E,4,-,5,-,-,-,-,-,4,-,5,-,4,3,6,5
Student F,6,-,7,-,-,-,-,-,6,-,7,-,6,6,8,7
Student G,7,-,7,-,5,4,6,5,7,-,7,-,7,6,7,6
Student H,3,-,4,-,-,-,-,-,3,-,4,-,3,2,4,3
Student I,8,-,8,-,6,5,7,6,8,-,8,-,8,7,8,7
Student J,5,-,5,-,-,-,-,-,5,-,5,-,5,4,5,5
